20;581

31;582

19;583

21;577

22;582

30;575

18;577

18;574

31;574

25;573

28;573

30;572

22;571

18;571

26;575

26;573

32;577

21;565

16;569

23;570

20;571

16;571

26;572

17;573

16;572

26;572

17;571

25;571

20;569

30;569

22;589

26;590

33;589

17;584

29;566

19;565

22;564

21;566

28;578

18;598

16;593

25;592

29;596

17;598

19;592

17;594

31;609

24;614

27;614

33;614

27;615

22;616

22;617

18;618

33;618

19;619

23;619

22;618

27;617

32;616

17;615

18;614

20;613

24;612

28;614

28;591

15;440

20;379

18;281

18;259

18;254

19;257

18;259

18;260

19;258

18;259

18;262

19;263

18;265

18;265

18;267

19;266

18;267

19;268

18;269

19;265

18;262

18;258

18;255

19;255

19;255

18;254

18;257

19;257

18;258

18;258

18;258

19;259

19;258

20;255

19;258

18;266

18;269

18;274

18;275

19;275

19;276

18;277

18;278

18;279

19;281

18;281

18;282

18;291

18;320

17;336

18;339

17;340

17;351

18;369

16;388

16;410

16;416

20;431

33;825

39;840

39;852

23;857

32;859

21;522

28;521

16;519

16;519

35;874

35;874

39;877

39;874

36;873

30;871

33;869

21;519

18;516

18;512

23;875

26;875

36;875

35;869

37;868

21;867

35;861

20;544

31;550

19;554

23;862

31;858

30;850

32;628

19;560

18;610

19;610

27;610

33;610

31;611

24;613

32;614

24;615

23;615

30;615

20;614

34;613

32;612

22;611

17;610

32;610

27;610

17;610

27;611

20;612

18;613

33;614

33;615

25;614

26;614

33;613

25;612

20;611

19;610

26;610

26;610

17;610

32;611

19;612

22;613

24;614

30;615

20;615

19;614

32;613

24;612

29;617

32;616

29;616

20;617

29;622

28;637

18;658

22;682

19;726

21;563

22;567

26;550

27;532

25;528

17;534

22;544

17;551

30;575

19;619

22;706

39;826

19;536

28;535

18;542

18;534

19;535

19;564

25;534

24;540

18;533

18;538

22;533

24;535

19;545

20;563

29;541

35;819

27;817

31;735

40;820

35;790

18;571

26;619

18;548

29;543

20;538

18;537

37;806

22;826

38;824

36;777

38;749

26;584

21;541

31;617

19;551

21;543

18;542

24;541

23;539

27;541

18;553

23;816

21;537

20;539

18;554

34;796

27;543

29;545

25;544

29;549

30;579

28;826

28;549

20;551

24;557

26;559

18;578

39;766

18;541

20;523

25;533

25;537

21;581

20;838

19;532

24;535

17;536

18;540

17;560

32;844

17;532

23;531

26;514

17;518

20;530

32;863

19;478

24;477

18;481

18;541

21;603

41;889

20;562

30;561

19;564

18;552

22;572

37;851

23;519

17;524

17;536

21;507

24;531

35;733

17;454

17;440

19;428

18;444

31;632

18;412

17;440

17;477

19;485

20;496

30;664

17;474

17;480

20;495

18;528

31;582

34;706

23;572

31;571

19;572

30;571

32;580

38;815

27;559

27;563

22;563

25;565

17;575

22;816

26;813

29;810

38;813

34;772

24;584

21;650

24;560

24;599

30;589

28;855

35;780

21;668

27;672

24;605

33;601

31;649

34;603

21;598

33;599

28;590

17;587

17;590

24;584

28;589

29;619

18;588

17;602

23;597

27;593

34;709

26;588

21;782

19;608

24;600

33;616

34;732

17;606

32;610

22;610

25;611

30;612

19;613

34;614

30;614

22;614

32;614

27;613

18;612

17;611

29;611

25;610

18;610

20;610

18;610

29;611

23;600

29;612

29;613

19;612

19;612

27;615

33;613

31;612

24;612

19;611

30;610

28;609

26;610

21;610

18;611

20;612

22;613

17;614

31;614

18;615

20;615

22;614

27;613

31;612

18;611

17;610

25;609

28;609

23;609

33;610

18;611

21;612

27;613

34;614

33;614

31;615

21;614

28;613

23;612

30;611

20;610

18;609

19;609

24;609

24;610

29;611

22;612

19;613

27;614

24;614

27;613

20;613

30;612

25;611

24;610

29;609

27;608

19;608

17;607

25;606

32;602

26;602

20;603

31;605

30;609

26;610

30;610

20;610

32;611

31;611

21;609

25;609

27;608

18;607

18;608

25;608

27;609

25;610

20;611

33;612

25;612

25;612

30;612

19;611

18;610

20;609

25;608

32;608

28;607

20;607

19;608

30;608

23;610

28;610

18;611

20;612

29;612

26;612

31;611

20;610

19;609

19;608

